date_key,year,quarter,month,day,day_of_week,day_name
2023-01-31,2023.0,1.0,1.0,31.0,2.0,Tuesday  
2023-01-23,2023.0,1.0,1.0,23.0,1.0,Monday   
2023-02-01,2023.0,1.0,2.0,1.0,3.0,Wednesday
2023-01-17,2023.0,1.0,1.0,17.0,2.0,Tuesday  
2023-02-02,2023.0,1.0,2.0,2.0,4.0,Thursday 
2023-02-10,2023.0,1.0,2.0,10.0,5.0,Friday   
2025-07-11,2025.0,3.0,7.0,11.0,5.0,Friday   
2023-01-26,2023.0,1.0,1.0,26.0,4.0,Thursday 
2023-01-27,2023.0,1.0,1.0,27.0,5.0,Friday   
2023-01-30,2023.0,1.0,1.0,30.0,1.0,Monday   
